model_a,model_b,display_a,display_b,f1_a,f1_b,diff_f1,ci_lower,ci_upper,p_value,significant_95
gpt-5.4-nano_few_shot,neuralmind_bert-base-portuguese-cased__supervised,GPT-5.4-nano,BERTimbau-base,0.7622950819672133,0.7079889807162535,0.05459542048016444,0.011918946865994517,0.09781928336971688,0.0112,True
neuralmind_bert-base-portuguese-cased__supervised,neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-base,BERTimbau-large,0.7079889807162535,0.6541786743515852,0.05379736691336482,0.018063815016466877,0.09047437186006799,0.0042,True
gpt-4o,neuralmind_bert-base-portuguese-cased__supervised,GPT-4o,BERTimbau-base,0.7611336032388664,0.7079889807162535,0.05346499964353656,0.010016499701820426,0.0964065129114973,0.0152,True
deepseek-v3_few_shot,bilstm-crf__supervised,DeepSeek-V3,BiLSTM-CRF,0.6756496631376323,0.7257281553398058,-0.05012553542330703,-0.09767432481210331,-0.0032348239260213615,0.0372,True
gpt-5.4-nano_few_shot,gemini-2.5-flash_few_shot,GPT-5.4-nano,Gemini-2.5-flash,0.7622950819672133,0.7141444114737882,0.048306440392484745,0.01225801274526067,0.08245811602442364,0.0106,True
gpt-4-turbo,bilstm-crf__supervised,GPT-4 Turbo,BiLSTM-CRF,0.7737373737373736,0.7257281553398058,0.04814867759531438,-0.001054665765355208,0.0957438117370184,0.0558,False
gpt-4o,gemini-2.5-flash_few_shot,GPT-4o,Gemini-2.5-flash,0.7611336032388664,0.7141444114737882,0.04717601955585686,0.010177126523926296,0.08174603266140656,0.0114,True
gpt-5.4-mini_few_shot,bilstm-crf__supervised,GPT-5.4-mini,BiLSTM-CRF,0.7689119170984456,0.7257281553398058,0.04350813625885055,-0.01020350215075422,0.09563843421496299,0.107,False
gpt-4-turbo,gpt-41,GPT-4 Turbo,GPT-4.1,0.7737373737373736,0.7333333333333333,0.040603446460409,0.01020367959945272,0.07211250253369819,0.009,True
gemini-2.5-flash_few_shot,deepseek-v3_few_shot,Gemini-2.5-flash,DeepSeek-V3,0.7141444114737882,0.6756496631376323,0.03854111339060064,0.0029157123687648225,0.07507783242118027,0.0326,True
rufimelo_Legal-BERTimbau-base__supervised,deepseek-v3_few_shot,Legal-BERTimbau-base,DeepSeek-V3,0.6388059701492537,0.6756496631376323,-0.03695848140240621,-0.09183002391568877,0.01581673271221916,0.1822,False
gpt-5.4-nano_few_shot,bilstm-crf__supervised,GPT-5.4-nano,BiLSTM-CRF,0.7622950819672133,0.7257281553398058,0.03672201835977836,-0.014213293032394197,0.08736123987553251,0.1526,False
gpt-4-turbo,gpt-35,GPT-4 Turbo,GPT-3.5,0.7737373737373736,0.7375886524822695,0.03630009828499039,0.00020101098600085773,0.07371656983160316,0.0482,True
gpt-5.4-mini_few_shot,gpt-41,GPT-5.4-mini,GPT-4.1,0.7689119170984456,0.7333333333333333,0.03596290512394516,-0.00626145707299359,0.07547960382695008,0.0918,False
gpt-41-mini,neuralmind_bert-base-portuguese-cased__supervised,GPT-4.1-mini,BERTimbau-base,0.7437185929648242,0.7079889807162535,0.03586937583081824,-0.010279020301244989,0.08275340891485682,0.1258,False
gpt-4o,bilstm-crf__supervised,GPT-4o,BiLSTM-CRF,0.7611336032388664,0.7257281553398058,0.03559159752315047,-0.016417364421594565,0.08661502162168667,0.1772,False
neuralmind_bert-base-portuguese-cased__supervised,deepseek-v3_few_shot,BERTimbau-base,DeepSeek-V3,0.7079889807162535,0.6756496631376323,0.03225213330292094,-0.019254839701596624,0.08320525556307859,0.2116,False
gpt-5.4-mini_few_shot,gpt-35,GPT-5.4-mini,GPT-3.5,0.7689119170984456,0.7375886524822695,0.03165955694852656,-0.00015008405185095962,0.06612348885634683,0.0516,False
gpt-4-turbo,gpt-41-mini,GPT-4 Turbo,GPT-4.1-mini,0.7737373737373736,0.7437185929648242,0.030152703884882236,-0.004097447622214922,0.06641949232712174,0.0904,False
neuralmind_bert-base-portuguese-cased__supervised,gpt-35,BERTimbau-base,GPT-3.5,0.7079889807162535,0.7375886524822695,-0.029721981430710077,-0.07508702297460158,0.015736308176181525,0.1976,False
gpt-41-mini,gemini-2.5-flash_few_shot,GPT-4.1-mini,Gemini-2.5-flash,0.7437185929648242,0.7141444114737882,0.029580395743138536,-0.008114927435868995,0.06617292697500593,0.1226,False
gpt-5.4-nano_few_shot,gpt-41,GPT-5.4-nano,GPT-4.1,0.7622950819672133,0.7333333333333333,0.029176787224872977,-0.005992336512315832,0.06536914896008271,0.109,False
gpt-4o,gpt-41,GPT-4o,GPT-4.1,0.7611336032388664,0.7333333333333333,0.02804636638824508,-0.007201958116109366,0.06382780023132865,0.1212,False
gpt-5.4-mini_few_shot,gpt-41-mini,GPT-5.4-mini,GPT-4.1-mini,0.7689119170984456,0.7437185929648242,0.025512162548418406,-0.017898249041919456,0.06744532019645091,0.2406,False
neuralmind_bert-base-portuguese-cased__supervised,gpt-41,BERTimbau-base,GPT-4.1,0.7079889807162535,0.7333333333333333,-0.02541863325529147,-0.07433177934904152,0.023500549694338443,0.302,False
gpt-5.4-nano_few_shot,gpt-35,GPT-5.4-nano,GPT-3.5,0.7622950819672133,0.7375886524822695,0.024873439049454365,-0.002673632085015068,0.05303728676056422,0.072,False
gpt-4o,gpt-35,GPT-4o,GPT-3.5,0.7611336032388664,0.7375886524822695,0.023743018212826473,-0.0018189796288935992,0.05068078241148244,0.0678,False
gpt-35,gemini-2.5-flash_few_shot,GPT-3.5,Gemini-2.5-flash,0.7375886524822695,0.7141444114737882,0.02343300134303038,-0.01689463905424661,0.06288352341977478,0.26,False
neuralmind_bert-large-portuguese-cased__supervised,deepseek-v3_few_shot,BERTimbau-large,DeepSeek-V3,0.6541786743515852,0.6756496631376323,-0.02154523361044388,-0.07740912617550243,0.033256279220304434,0.4526,False
gpt-41,gemini-2.5-flash_few_shot,GPT-4.1,Gemini-2.5-flash,0.7333333333333333,0.7141444114737882,0.019129653167611775,-0.017210340747606585,0.05456492326255901,0.2922,False
gpt-5.4-nano_few_shot,gpt-41-mini,GPT-5.4-nano,GPT-4.1-mini,0.7622950819672133,0.7437185929648242,0.01872604464934621,-0.017150658524459576,0.05569928869363806,0.3152,False
gpt-41-mini,bilstm-crf__supervised,GPT-4.1-mini,BiLSTM-CRF,0.7437185929648242,0.7257281553398058,0.01799597371043215,-0.03019021843140979,0.06631923316980555,0.4744,False
neuralmind_bert-base-portuguese-cased__supervised,bilstm-crf__supervised,BERTimbau-base,BiLSTM-CRF,0.7079889807162535,0.7257281553398058,-0.017873402120386087,-0.06293074327243352,0.027032415881436754,0.4456,False
gpt-4o,gpt-41-mini,GPT-4o,GPT-4.1-mini,0.7611336032388664,0.7437185929648242,0.017595623812718314,-0.018430611431397712,0.05400289004093069,0.3388,False
rufimelo_Legal-BERTimbau-base__supervised,neuralmind_bert-large-portuguese-cased__supervised,Legal-BERTimbau-base,BERTimbau-large,0.6388059701492537,0.6541786743515852,-0.015413247791962329,-0.05949148034534665,0.027815923739186035,0.5012,False
gpt-4-turbo,gpt-4o,GPT-4 Turbo,GPT-4o,0.7737373737373736,0.7611336032388664,0.012557080072163919,-0.02016968397788671,0.04647359203289714,0.4568,False
gpt-35,bilstm-crf__supervised,GPT-3.5,BiLSTM-CRF,0.7375886524822695,0.7257281553398058,0.011848579310323994,-0.03838404477064687,0.06227968098105711,0.6342,False
gemini-2.5-flash_few_shot,bilstm-crf__supervised,Gemini-2.5-flash,BiLSTM-CRF,0.7141444114737882,0.7257281553398058,-0.011584422032706388,-0.05792141884880522,0.03659309770430477,0.6358,False
gpt-4-turbo,gpt-5.4-nano_few_shot,GPT-4 Turbo,GPT-5.4-nano,0.7737373737373736,0.7622950819672133,0.011426659235536027,-0.019212221621349935,0.04434723606302775,0.4906,False
gpt-41-mini,gpt-41,GPT-4.1-mini,GPT-4.1,0.7437185929648242,0.7333333333333333,0.010450742575526764,-0.024421608201346545,0.04537625103879572,0.5608,False
gpt-5.4-mini_few_shot,gpt-4o,GPT-5.4-mini,GPT-4o,0.7689119170984456,0.7611336032388664,0.007916538735700087,-0.02286443137368006,0.03941020412273928,0.619,False
gpt-41,bilstm-crf__supervised,GPT-4.1,BiLSTM-CRF,0.7333333333333333,0.7257281553398058,0.0075452311349053875,-0.04131560761059222,0.05613909027584837,0.7668,False
gpt-5.4-mini_few_shot,gpt-5.4-nano_few_shot,GPT-5.4-mini,GPT-5.4-nano,0.7689119170984456,0.7622950819672133,0.006786117899072196,-0.020465549729126578,0.03600000628264197,0.6458,False
neuralmind_bert-base-portuguese-cased__supervised,gemini-2.5-flash_few_shot,BERTimbau-base,Gemini-2.5-flash,0.7079889807162535,0.7141444114737882,-0.006288980087679699,-0.054586662316625664,0.04097188741178957,0.804,False
gpt-41-mini,gpt-35,GPT-4.1-mini,GPT-3.5,0.7437185929648242,0.7375886524822695,0.006147394400108156,-0.02991473763088067,0.04087200544751677,0.7186,False
gpt-4-turbo,gpt-5.4-mini_few_shot,GPT-4 Turbo,GPT-5.4-mini,0.7737373737373736,0.7689119170984456,0.0046405413364638305,-0.035189951851988546,0.04611949742704933,0.8352,False
gpt-35,gpt-41,GPT-3.5,GPT-4.1,0.7375886524822695,0.7333333333333333,0.004303348175418607,-0.030526368379691235,0.03888666701468084,0.8104,False
gpt-4o,gpt-5.4-nano_few_shot,GPT-4o,GPT-5.4-nano,0.7611336032388664,0.7622950819672133,-0.0011304208366278911,-0.025392213037434795,0.023112975095216277,0.9274,False
