| model_a                                            | model_b                                            | display_a            | display_b            |     f1_a |     f1_b |      diff_f1 |    ci_lower |    ci_upper |   p_value | significant_95   |
| gpt-5.1_few_shot                                   | rufimelo_Legal-BERTimbau-base__supervised          | GPT-5.1              | Legal-BERTimbau-base | 0.684667 | 0.605144 |  0.0801493   |  0.0222241  |  0.138895   |    0.0082 | True             |
| gpt-4.1-mini_few_shot                              | gpt-5.2_few_shot                                   | GPT-4.1-mini         | GPT-5.2              | 0.685134 | 0.606742 |  0.0785285   |  0.0484608  |  0.109903   |    0      | True             |
| gpt-5.1_few_shot                                   | gpt-5.2_few_shot                                   | GPT-5.1              | GPT-5.2              | 0.684667 | 0.606742 |  0.0779168   |  0.0459857  |  0.110407   |    0      | True             |
| qwen2.5-72b_few_shot                               | neuralmind_bert-base-portuguese-cased__supervised  | Qwen2.5-72B          | BERTimbau-base       | 0.615385 | 0.68956  | -0.0735562   | -0.124651   | -0.0214877  |    0.005  | True             |
| gpt-5-mini_few_shot                                | llama-3.3-70b_few_shot                             | GPT-5-mini           | Llama-3.3-70B        | 0.410835 | 0.339564 |  0.0708261   | -0.00257376 |  0.143436   |    0.0614 | False            |
| gpt-4.1-mini_few_shot                              | qwen2.5-72b_few_shot                               | GPT-4.1-mini         | Qwen2.5-72B          | 0.685134 | 0.615385 |  0.0696616   |  0.0303775  |  0.10795    |    0.0006 | True             |
| gpt-5.1_few_shot                                   | qwen2.5-72b_few_shot                               | GPT-5.1              | Qwen2.5-72B          | 0.684667 | 0.615385 |  0.0690499   |  0.0251881  |  0.112044   |    0.0032 | True             |
| gpt-5.1_few_shot                                   | deepseek-v4-flash_few_shot                         | GPT-5.1              | DeepSeek-V4-Flash    | 0.684667 | 0.752665 | -0.0681431   | -0.105258   | -0.0312541  |    0.0008 | True             |
| gpt-4.1-mini_few_shot                              | deepseek-v4-flash_few_shot                         | GPT-4.1-mini         | DeepSeek-V4-Flash    | 0.685134 | 0.752665 | -0.0675313   | -0.101169   | -0.0346885  |    0.0004 | True             |
| deepseek-v4-flash_few_shot                         | neuralmind_bert-base-portuguese-cased__supervised  | DeepSeek-V4-Flash    | BERTimbau-base       | 0.752665 | 0.68956  |  0.0636368   |  0.0164157  |  0.111346   |    0.0068 | True             |
| gpt-4.1_few_shot                                   | gpt-5.1_few_shot                                   | GPT-4.1              | GPT-5.1              | 0.721569 | 0.684667 |  0.0372323   |  0.00833852 |  0.0666899  |    0.0082 | True             |
| gpt-4.1_few_shot                                   | gpt-4.1-mini_few_shot                              | GPT-4.1              | GPT-4.1-mini         | 0.721569 | 0.685134 |  0.0366205   |  0.0129893  |  0.0618578  |    0.002  | True             |
| gpt-4.1_few_shot                                   | neuralmind_bert-base-portuguese-cased__supervised  | GPT-4.1              | BERTimbau-base       | 0.721569 | 0.68956  |  0.032726    | -0.0111456  |  0.0777858  |    0.1458 | False            |
| gpt-4.1_few_shot                                   | deepseek-v4-flash_few_shot                         | GPT-4.1              | DeepSeek-V4-Flash    | 0.721569 | 0.752665 | -0.0309108   | -0.0615978  | -0.00266387 |    0.0298 | True             |
| qwen2.5-72b_few_shot                               | bilstm-crf__supervised                             | Qwen2.5-72B          | BiLSTM-CRF           | 0.615385 | 0.592593 |  0.0231885   | -0.0458338  |  0.092404   |    0.5054 | False            |
| gpt-4.1-nano_few_shot                              | gpt-5-mini_few_shot                                | GPT-4.1-nano         | GPT-5-mini           | 0.430796 | 0.410835 |  0.0203045   | -0.0296988  |  0.0713849  |    0.4246 | False            |
| gpt-5.2_few_shot                                   | bilstm-crf__supervised                             | GPT-5.2              | BiLSTM-CRF           | 0.606742 | 0.592593 |  0.0143216   | -0.0504766  |  0.0786543  |    0.6666 | False            |
| rufimelo_Legal-BERTimbau-base__supervised          | bilstm-crf__supervised                             | Legal-BERTimbau-base | BiLSTM-CRF           | 0.605144 | 0.592593 |  0.0120891   | -0.0451934  |  0.0695812  |    0.6864 | False            |
| neuralmind_bert-large-portuguese-cased__supervised | bilstm-crf__supervised                             | BERTimbau-large      | BiLSTM-CRF           | 0.604863 | 0.592593 |  0.0117181   | -0.0460775  |  0.0704042  |    0.7046 | False            |
| qwen2.5-72b_few_shot                               | neuralmind_bert-large-portuguese-cased__supervised | Qwen2.5-72B          | BERTimbau-large      | 0.615385 | 0.604863 |  0.0114704   | -0.0514558  |  0.0762032  |    0.7296 | False            |
| qwen2.5-72b_few_shot                               | rufimelo_Legal-BERTimbau-base__supervised          | Qwen2.5-72B          | Legal-BERTimbau-base | 0.615385 | 0.605144 |  0.0110994   | -0.0460825  |  0.0700904  |    0.7124 | False            |
| gpt-5.2_few_shot                                   | qwen2.5-72b_few_shot                               | GPT-5.2              | Qwen2.5-72B          | 0.606742 | 0.615385 | -0.00886691  | -0.0493043  |  0.0313262  |    0.6656 | False            |
| gpt-5.1_few_shot                                   | neuralmind_bert-base-portuguese-cased__supervised  | GPT-5.1              | BERTimbau-base       | 0.684667 | 0.68956  | -0.00450631  | -0.0499099  |  0.0418728  |    0.8566 | False            |
| gpt-4.1-mini_few_shot                              | neuralmind_bert-base-portuguese-cased__supervised  | GPT-4.1-mini         | BERTimbau-base       | 0.685134 | 0.68956  | -0.00389455  | -0.0477484  |  0.0400073  |    0.8642 | False            |
| gpt-5.2_few_shot                                   | neuralmind_bert-large-portuguese-cased__supervised | GPT-5.2              | BERTimbau-large      | 0.606742 | 0.604863 |  0.00260349  | -0.0526889  |  0.060741   |    0.9412 | False            |
| gpt-5.2_few_shot                                   | rufimelo_Legal-BERTimbau-base__supervised          | GPT-5.2              | Legal-BERTimbau-base | 0.606742 | 0.605144 |  0.0022325   | -0.0520098  |  0.0578382  |    0.9464 | False            |
| gpt-4.1-mini_few_shot                              | gpt-5.1_few_shot                                   | GPT-4.1-mini         | GPT-5.1              | 0.685134 | 0.684667 |  0.000611766 | -0.0246034  |  0.0262581  |    0.9568 | False            |
| rufimelo_Legal-BERTimbau-base__supervised          | neuralmind_bert-large-portuguese-cased__supervised | Legal-BERTimbau-base | BERTimbau-large      | 0.605144 | 0.604863 |  0.000370996 | -0.040121   |  0.0429149  |    0.9964 | False            |
