model_a,model_b,display_a,display_b,f1_a,f1_b,diff_f1,ci_lower,ci_upper,p_value,significant_95
gpt-41-mini,deepseek-v3_few_shot,GPT-4.1-mini,DeepSeek-V3,0.7107601184600196,0.6458923512747876,0.0650365999608627,0.03208140841392009,0.09755863411918893,0.0006,True
gpt-35,deepseek-v3_few_shot,GPT-3.5,DeepSeek-V3,0.7104477611940297,0.6458923512747876,0.06472529826653119,0.02439203418373367,0.10499394633931904,0.0026,True
gpt-41,deepseek-v3_few_shot,GPT-4.1,DeepSeek-V3,0.7052023121387283,0.6458923512747876,0.0593838944203909,0.023125822224483304,0.09552979129994826,0.0014,True
deepseek-v3_few_shot,bilstm-crf__supervised,DeepSeek-V3,BiLSTM-CRF,0.6458923512747876,0.5925925925925926,0.05346053905369239,-0.008254404985444993,0.11430670525382426,0.0876,False
gpt-4-turbo,gemini-2.5-flash_few_shot,GPT-4 Turbo,Gemini-2.5-flash,0.7341269841269841,0.6867119301648884,0.04759083416608673,0.017906162692078665,0.07676468536674805,0.0028,True
gpt-4-turbo,neuralmind_bert-base-portuguese-cased__supervised,GPT-4 Turbo,BERTimbau-base,0.7341269841269841,0.6895604395604397,0.04519297687984463,-0.0019446276829265502,0.09366960041014682,0.0586,False
gpt-5.4-mini_few_shot,gemini-2.5-flash_few_shot,GPT-5.4-mini,Gemini-2.5-flash,0.7309644670050761,0.6867119301648884,0.04468926193415457,0.0036969524354982476,0.08360389077515407,0.0332,True
neuralmind_bert-base-portuguese-cased__supervised,deepseek-v3_few_shot,BERTimbau-base,DeepSeek-V3,0.6895604395604397,0.6458923512747876,0.043284182569963935,-0.0062615542034042005,0.0914017824376013,0.086,False
gpt-5.4-nano_few_shot,gemini-2.5-flash_few_shot,GPT-5.4-nano,Gemini-2.5-flash,0.7289156626506024,0.6867119301648884,0.042446658140517284,0.008700909184733279,0.07443735976652589,0.0154,True
gpt-5.4-mini_few_shot,neuralmind_bert-base-portuguese-cased__supervised,GPT-5.4-mini,BERTimbau-base,0.7309644670050761,0.6895604395604397,0.042291404647912464,-0.005707697669903199,0.09140280467729342,0.0872,False
neuralmind_bert-large-portuguese-cased__supervised,deepseek-v3_few_shot,BERTimbau-large,DeepSeek-V3,0.6048632218844985,0.6458923512747876,-0.041742391855635975,-0.09999654157469963,0.013900044632781113,0.1452,False
rufimelo_Legal-BERTimbau-base__supervised,deepseek-v3_few_shot,Legal-BERTimbau-base,DeepSeek-V3,0.605143721633888,0.6458923512747876,-0.041371395456495194,-0.09535775565499272,0.010949321427228032,0.1254,False
gemini-2.5-flash_few_shot,deepseek-v3_few_shot,Gemini-2.5-flash,DeepSeek-V3,0.6867119301648884,0.6458923512747876,0.040886325283721825,0.005258698189707136,0.07710315990922983,0.0218,True
gpt-5.4-nano_few_shot,neuralmind_bert-base-portuguese-cased__supervised,GPT-5.4-nano,BERTimbau-base,0.7289156626506024,0.6895604395604397,0.04004880085427518,-0.0033523130047229672,0.08420524036645637,0.0698,False
gpt-4o,gemini-2.5-flash_few_shot,GPT-4o,Gemini-2.5-flash,0.723658051689861,0.6867119301648884,0.03721387971225833,0.0016861127317988162,0.07009641073772802,0.0408,True
gpt-4o,neuralmind_bert-base-portuguese-cased__supervised,GPT-4o,BERTimbau-base,0.723658051689861,0.6895604395604397,0.034816022426016224,-0.009849789561549126,0.08097738078214342,0.1284,False
gpt-4-turbo,gpt-41,GPT-4 Turbo,GPT-4.1,0.7341269841269841,0.7052023121387283,0.02909326502941766,0.001485285647854257,0.05725290889743914,0.0384,True
gpt-5.4-mini_few_shot,gpt-41,GPT-5.4-mini,GPT-4.1,0.7309644670050761,0.7052023121387283,0.026191692797485497,-0.012697616530942556,0.06253014882370547,0.1864,False
gpt-41-mini,gemini-2.5-flash_few_shot,GPT-4.1-mini,Gemini-2.5-flash,0.7107601184600196,0.6867119301648884,0.024150274677140857,-0.009422295465578014,0.05585453156865664,0.1562,False
gpt-5.4-nano_few_shot,gpt-41,GPT-5.4-nano,GPT-4.1,0.7289156626506024,0.7052023121387283,0.023949089003848224,-0.008999605558520321,0.05671944860341738,0.1558,False
gpt-35,gemini-2.5-flash_few_shot,GPT-3.5,Gemini-2.5-flash,0.7104477611940297,0.6867119301648884,0.023838972982809348,-0.01458730553251328,0.06022888134530163,0.2168,False
gpt-4-turbo,gpt-35,GPT-4 Turbo,GPT-3.5,0.7341269841269841,0.7104477611940297,0.02375186118327738,-0.011197664236531572,0.059860873653036974,0.195,False
gpt-4-turbo,gpt-41-mini,GPT-4 Turbo,GPT-4.1-mini,0.7341269841269841,0.7107601184600196,0.023440559488945873,-0.008816936891397169,0.056377664510704986,0.1538,False
gpt-41-mini,neuralmind_bert-base-portuguese-cased__supervised,GPT-4.1-mini,BERTimbau-base,0.7107601184600196,0.6895604395604397,0.021752417390898754,-0.022078282144071152,0.0671136267044431,0.3296,False
neuralmind_bert-base-portuguese-cased__supervised,gpt-35,BERTimbau-base,GPT-3.5,0.6895604395604397,0.7104477611940297,-0.021441115696567245,-0.06636817514017067,0.02164450136027599,0.3418,False
gpt-5.4-mini_few_shot,gpt-35,GPT-5.4-mini,GPT-3.5,0.7309644670050761,0.7104477611940297,0.020850288951345216,-0.00961865475452972,0.05438545117554192,0.1908,False
gpt-5.4-mini_few_shot,gpt-41-mini,GPT-5.4-mini,GPT-4.1-mini,0.7309644670050761,0.7107601184600196,0.020538987257013714,-0.021141749588100254,0.06115616145624801,0.3126,False
gpt-4o,gpt-41,GPT-4o,GPT-4.1,0.723658051689861,0.7052023121387283,0.01871631057558926,-0.01467895294455126,0.05152513453831877,0.2724,False
gpt-5.4-nano_few_shot,gpt-35,GPT-5.4-nano,GPT-3.5,0.7289156626506024,0.7104477611940297,0.018607685157707936,-0.007819812954632377,0.04585695716136804,0.1678,False
gpt-41,gemini-2.5-flash_few_shot,GPT-4.1,Gemini-2.5-flash,0.7052023121387283,0.6867119301648884,0.018497569136669067,-0.013790194630888033,0.04995023202761745,0.2616,False
gpt-5.4-nano_few_shot,gpt-41-mini,GPT-5.4-nano,GPT-4.1-mini,0.7289156626506024,0.7107601184600196,0.018296383463376434,-0.01421366829438995,0.05111050038740417,0.2728,False
neuralmind_bert-base-portuguese-cased__supervised,gpt-41,BERTimbau-base,GPT-4.1,0.6895604395604397,0.7052023121387283,-0.01609971185042696,-0.06273557436527966,0.03027102608331359,0.5078,False
gpt-4o,gpt-35,GPT-4o,GPT-3.5,0.723658051689861,0.7104477611940297,0.013374906729448978,-0.010727057974694972,0.03844733216641146,0.2872,False
gpt-4o,gpt-41-mini,GPT-4o,GPT-4.1-mini,0.723658051689861,0.7107601184600196,0.01306360503511747,-0.020649848206644773,0.04681824581831279,0.447,False
rufimelo_Legal-BERTimbau-base__supervised,bilstm-crf__supervised,Legal-BERTimbau-base,BiLSTM-CRF,0.605143721633888,0.5925925925925926,0.012089143597197186,-0.04519335000879936,0.06958123169057241,0.6864,False
neuralmind_bert-large-portuguese-cased__supervised,bilstm-crf__supervised,BERTimbau-large,BiLSTM-CRF,0.6048632218844985,0.5925925925925926,0.011718147198056406,-0.0460774554584096,0.07040421300301848,0.7046,False
gpt-4-turbo,gpt-4o,GPT-4 Turbo,GPT-4o,0.7341269841269841,0.723658051689861,0.010376954453828404,-0.021078927677730588,0.04320460786061441,0.5246,False
gpt-5.4-mini_few_shot,gpt-4o,GPT-5.4-mini,GPT-4o,0.7309644670050761,0.723658051689861,0.00747538222189624,-0.02285234559948414,0.038558137225025456,0.6312,False
gpt-41-mini,gpt-41,GPT-4.1-mini,GPT-4.1,0.7107601184600196,0.7052023121387283,0.005652705540471789,-0.026169276067320918,0.03740362709965773,0.7304,False
gpt-35,gpt-41,GPT-3.5,GPT-4.1,0.7104477611940297,0.7052023121387283,0.005341403846140283,-0.027115029817920147,0.03778583962646327,0.7566,False
gpt-4o,gpt-5.4-nano_few_shot,GPT-4o,GPT-5.4-nano,0.723658051689861,0.7289156626506024,-0.005232778428258962,-0.02881353061628162,0.01870380459619412,0.6564,False
gpt-4-turbo,gpt-5.4-nano_few_shot,GPT-4 Turbo,GPT-5.4-nano,0.7341269841269841,0.7289156626506024,0.005144176025569441,-0.023220884878175425,0.03551214223298383,0.7504,False
gpt-4-turbo,gpt-5.4-mini_few_shot,GPT-4 Turbo,GPT-5.4-mini,0.7341269841269841,0.7309644670050761,0.002901572231932164,-0.03433922406217635,0.04181524103153565,0.8988,False
neuralmind_bert-base-portuguese-cased__supervised,gemini-2.5-flash_few_shot,BERTimbau-base,Gemini-2.5-flash,0.6895604395604397,0.6867119301648884,0.002397857286242104,-0.04923973466404294,0.0517084168124688,0.9184,False
gpt-5.4-mini_few_shot,gpt-5.4-nano_few_shot,GPT-5.4-mini,GPT-5.4-nano,0.7309644670050761,0.7289156626506024,0.002242603793637277,-0.024966247596371793,0.030742040068558775,0.8826,False
rufimelo_Legal-BERTimbau-base__supervised,neuralmind_bert-large-portuguese-cased__supervised,Legal-BERTimbau-base,BERTimbau-large,0.605143721633888,0.6048632218844985,0.0003709963991407823,-0.04012096628345316,0.042914922166492495,0.9964,False
gpt-41-mini,gpt-35,GPT-4.1-mini,GPT-3.5,0.7107601184600196,0.7104477611940297,0.00031130169433150553,-0.034225712190241356,0.03318330810798944,0.9712,False
