kind,label,iou,pred_label
exact,MULTA,0.9964912280701754,
exact,MULTA,0.9967213114754099,
exact,MULTA,0.9961977186311787,
exact,MULTA,0.9953703703703703,
exact,MULTA,0.9970149253731343,
exact,MULTA,0.995260663507109,
boundary,MULTA,0.39019607843137255,MULTA
FN,MULTA,0.0,
FN,MULTA,0.0,
exact,MULTA,0.9973333333333333,
boundary,OBRIGACAO,0.1607565011820331,OBRIGACAO
boundary,OBRIGACAO,0.42748091603053434,OBRIGACAO
boundary,OBRIGACAO,0.48346055979643765,OBRIGACAO
exact,MULTA,0.9963898916967509,
exact,OBRIGACAO,0.7944199706314243,
boundary,OBRIGACAO,0.41838134430727025,OBRIGACAO
exact,OBRIGACAO,0.9559748427672956,
exact,OBRIGACAO,0.5353901996370236,
exact,OBRIGACAO,0.7294617563739377,
exact,OBRIGACAO,0.7166172106824926,
boundary,OBRIGACAO,0.32,OBRIGACAO
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
exact,MULTA,0.8545454545454545,
exact,MULTA,0.995475113122172,
exact,MULTA,1.0,
exact,MULTA,0.994269340974212,
FN,RECOMENDACAO,0.0,
exact,MULTA,0.9974874371859297,
exact,MULTA,0.9974424552429667,
exact,RECOMENDACAO,0.9921875,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
exact,RECOMENDACAO,0.9540229885057471,
exact,RECOMENDACAO,0.6653386454183267,
FN,RECOMENDACAO,0.0,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
exact,MULTA,0.6456692913385826,
exact,MULTA,0.970013037809648,
exact,RESSARCIMENTO,0.9686346863468634,
FN,MULTA,0.0,
exact,OBRIGACAO,0.9956331877729258,
boundary,OBRIGACAO,0.2462686567164179,OBRIGACAO
exact,OBRIGACAO,0.9153846153846154,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,0.9972602739726028,
exact,RECOMENDACAO,1.0,
FP,OBRIGACAO,0.0,
FP,OBRIGACAO,0.0,
FP,OBRIGACAO,0.0,
FP,OBRIGACAO,0.0,
exact,OBRIGACAO,0.9720101781170484,
exact,MULTA,0.9470046082949308,
FN,MULTA,0.0,
exact,MULTA,0.9084745762711864,
exact,MULTA,0.6030013642564802,
boundary,MULTA,0.3328785811732606,MULTA
exact,MULTA,0.7481481481481481,
FN,MULTA,0.0,
exact,MULTA,0.9009009009009009,
boundary,OBRIGACAO,0.4710820895522388,OBRIGACAO
FN,OBRIGACAO,0.0,
exact,MULTA,0.8136094674556213,
exact,MULTA,0.5386996904024768,
exact,OBRIGACAO,0.8733509234828496,
exact,OBRIGACAO,0.9354838709677419,
exact,OBRIGACAO,0.9601990049751243,
FP,OBRIGACAO,0.0,
FP,OBRIGACAO,0.0,
FP,OBRIGACAO,0.0,
exact,RECOMENDACAO,0.9970149253731343,
exact,MULTA,0.5331599479843954,
boundary,OBRIGACAO,0.39569313593539707,OBRIGACAO
FN,MULTA,0.0,
FN,MULTA,0.0,
FN,OBRIGACAO,0.0,
boundary,RECOMENDACAO,0.3129251700680272,RECOMENDACAO
FN,OBRIGACAO,0.0,
exact,MULTA,0.9961977186311787,
exact,RECOMENDACAO,0.9805825242718447,
FP,OBRIGACAO,0.0,
exact,MULTA,0.9895561357702349,
exact,OBRIGACAO,0.9259259259259259,
exact,OBRIGACAO,0.8687002652519894,
exact,MULTA,0.9967948717948718,
exact,RECOMENDACAO,1.0,
exact,MULTA,0.7284263959390863,
exact,RECOMENDACAO,0.9964285714285714,
FN,RECOMENDACAO,0.0,
exact,MULTA,0.7552447552447552,
exact,MULTA,0.962059620596206,
exact,OBRIGACAO,0.9310897435897436,
boundary,OBRIGACAO,0.21359773371104815,OBRIGACAO
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,RECOMENDACAO,0.9617486338797814,
FP,OBRIGACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.9962121212121212,
FP,MULTA,0.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.996078431372549,
FP,OBRIGACAO,0.0,
FP,OBRIGACAO,0.0,
exact,RECOMENDACAO,0.9601990049751243,
exact,MULTA,0.8115384615384615,
FP,MULTA,0.0,
FP,MULTA,0.0,
FP,MULTA,0.0,
FP,RECOMENDACAO,0.0,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
exact,RECOMENDACAO,0.9967637540453075,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.7254901960784313,
FP,OBRIGACAO,0.0,
exact,RECOMENDACAO,0.9967637540453075,
FP,RECOMENDACAO,0.0,
exact,RECOMENDACAO,0.9975845410628019,
exact,MULTA,0.8368200836820083,
exact,MULTA,0.9251336898395722,
exact,RESSARCIMENTO,0.9528475199020208,
exact,OBRIGACAO,1.0,
boundary,RESSARCIMENTO,0.27091633466135456,MULTA
boundary,RESSARCIMENTO,0.18631178707224336,RESSARCIMENTO
exact,RESSARCIMENTO,0.5534441805225653,
exact,OBRIGACAO,0.9393939393939394,
boundary,OBRIGACAO,0.41502808988764045,OBRIGACAO
exact,OBRIGACAO,0.7721822541966427,
boundary,RESSARCIMENTO,0.22759856630824374,MULTA
boundary,RESSARCIMENTO,0.2222222222222222,MULTA
exact,RESSARCIMENTO,0.7383512544802867,
FN,MULTA,0.0,
FN,RESSARCIMENTO,0.0,
exact,MULTA,0.9977628635346756,
exact,RESSARCIMENTO,0.9038461538461539,
exact,RESSARCIMENTO,0.816414686825054,
FN,RESSARCIMENTO,0.0,
exact,MULTA,0.9953051643192489,
exact,RESSARCIMENTO,0.8823529411764706,
exact,RECOMENDACAO,0.9957627118644068,
exact,MULTA,0.9955947136563876,
boundary,RESSARCIMENTO,0.41729323308270677,RESSARCIMENTO
exact,RESSARCIMENTO,0.7554179566563467,
boundary,RESSARCIMENTO,0.3867403314917127,MULTA
boundary,RESSARCIMENTO,0.4312796208530806,RESSARCIMENTO
FN,RESSARCIMENTO,0.0,
exact,MULTA,0.996551724137931,
exact,MULTA,0.9956331877729258,
exact,MULTA,0.994413407821229,
exact,MULTA,0.996415770609319,
exact,MULTA,0.995475113122172,
exact,MULTA,0.9951456310679612,
exact,RESSARCIMENTO,0.9962962962962963,
exact,MULTA,0.9967213114754099,
exact,MULTA,0.9270833333333334,
exact,RESSARCIMENTO,0.9896907216494846,
exact,MULTA,0.9958847736625515,
exact,MULTA,0.8518518518518519,
exact,MULTA,0.994413407821229,
exact,RESSARCIMENTO,0.9901315789473685,
FN,MULTA,0.0,
exact,MULTA,0.9955156950672646,
exact,MULTA,0.9960474308300395,
exact,MULTA,0.99581589958159,
exact,MULTA,0.9961977186311787,
exact,MULTA,0.9957627118644068,
exact,MULTA,0.8559322033898306,
exact,RESSARCIMENTO,0.996996996996997,
FN,MULTA,0.0,
exact,RESSARCIMENTO,0.7181964573268921,
exact,MULTA,0.6042296072507553,
exact,RESSARCIMENTO,0.9968152866242038,
exact,RESSARCIMENTO,0.9970149253731343,
boundary,RESSARCIMENTO,0.4954128440366973,MULTA
exact,MULTA,0.9678899082568807,
