| model_a                                            | model_b                                            | display_a            | display_b            |     f1_a |     f1_b |      diff_f1 |    ci_lower |   ci_upper |   p_value | significant_95   |
| gpt-4.1-mini_few_shot                              | rufimelo_Legal-BERTimbau-base__supervised          | GPT-4.1-mini         | Legal-BERTimbau-base | 0.69763  | 0.605144 |  0.0932082   |  0.0405399  |  0.147025  |    0.0004 | True             |
| gpt-5.1_few_shot                                   | bilstm-crf__supervised                             | GPT-5.1              | BiLSTM-CRF           | 0.684667 | 0.592593 |  0.0922384   |  0.0287323  |  0.155714  |    0.0048 | True             |
| gpt-4.1-mini_few_shot                              | gpt-5.2_few_shot                                   | GPT-4.1-mini         | GPT-5.2              | 0.69763  | 0.606742 |  0.0909757   |  0.0612202  |  0.122026  |    0      | True             |
| neuralmind_bert-base-portuguese-cased__supervised  | neuralmind_bert-large-portuguese-cased__supervised | BERTimbau-base       | BERTimbau-large      | 0.68956  | 0.604863 |  0.0850266   |  0.0437888  |  0.129793  |    0      | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | neuralmind_bert-base-portuguese-cased__supervised  | Legal-BERTimbau-base | BERTimbau-base       | 0.605144 | 0.68956  | -0.0846556   | -0.126225   | -0.0449749 |    0      | True             |
| gpt-5.2_few_shot                                   | neuralmind_bert-base-portuguese-cased__supervised  | GPT-5.2              | BERTimbau-base       | 0.606742 | 0.68956  | -0.0824231   | -0.128402   | -0.0354031 |    0.0004 | True             |
| gpt-4.1-mini_few_shot                              | qwen2.5-72b_few_shot                               | GPT-4.1-mini         | Qwen2.5-72B          | 0.69763  | 0.615385 |  0.0821087   |  0.0434173  |  0.120554  |    0      | True             |
| gpt-5.1_few_shot                                   | neuralmind_bert-large-portuguese-cased__supervised | GPT-5.1              | BERTimbau-large      | 0.684667 | 0.604863 |  0.0805203   |  0.025151   |  0.138212  |    0.0032 | True             |
| gpt-5.1_few_shot                                   | rufimelo_Legal-BERTimbau-base__supervised          | GPT-5.1              | Legal-BERTimbau-base | 0.684667 | 0.605144 |  0.0801493   |  0.0222241  |  0.138895  |    0.0082 | True             |
| gpt-5.1_few_shot                                   | gpt-5.2_few_shot                                   | GPT-5.1              | GPT-5.2              | 0.684667 | 0.606742 |  0.0779168   |  0.0459857  |  0.110407  |    0      | True             |
| qwen2.5-72b_few_shot                               | neuralmind_bert-base-portuguese-cased__supervised  | Qwen2.5-72B          | BERTimbau-base       | 0.615385 | 0.68956  | -0.0735562   | -0.124651   | -0.0214877 |    0.005  | True             |
| gpt-5-mini_few_shot                                | llama-3.3-70b_few_shot                             | GPT-5-mini           | Llama-3.3-70B        | 0.410835 | 0.339564 |  0.0708261   | -0.00257376 |  0.143436  |    0.0614 | False            |
| gpt-5.1_few_shot                                   | qwen2.5-72b_few_shot                               | GPT-5.1              | Qwen2.5-72B          | 0.684667 | 0.615385 |  0.0690499   |  0.0251881  |  0.112044  |    0.0032 | True             |
| gpt-4.1-nano_few_shot                              | llama-3.3-70b_few_shot                             | GPT-4.1-nano         | Llama-3.3-70B        | 0.400732 | 0.339564 |  0.0610909   | -0.00727811 |  0.126357  |    0.078  | False            |
| gpt-5.1_few_shot                                   | deepseek-v4-flash_few_shot                         | GPT-5.1              | DeepSeek-V4-Flash    | 0.684667 | 0.724062 | -0.0397547   | -0.0912569  |  0.0123385 |    0.1362 | False            |
| deepseek-v4-flash_few_shot                         | neuralmind_bert-base-portuguese-cased__supervised  | DeepSeek-V4-Flash    | BERTimbau-base       | 0.724062 | 0.68956  |  0.0352484   | -0.0227356  |  0.0911092 |    0.2328 | False            |
| gpt-4.1_few_shot                                   | gpt-5.1_few_shot                                   | GPT-4.1              | GPT-5.1              | 0.715128 | 0.684667 |  0.0305999   |  0.00421243 |  0.0577007 |    0.0228 | True             |
| gpt-4.1-mini_few_shot                              | deepseek-v4-flash_few_shot                         | GPT-4.1-mini         | DeepSeek-V4-Flash    | 0.69763  | 0.724062 | -0.0266958   | -0.0760485  |  0.0247306 |    0.2938 | False            |
